civil_marriage_share_value,civil_marriage_share_se,election_date,model_type,country
-0.014014950492564737,0.06391429436739048,2004_06_12,both_interactions,Italy
0.057553435477648976,0.06424411526099627,2006_04_09,both_interactions,Italy
0.051732298736794205,0.05998857459073583,2008_04_13,both_interactions,Italy
0.08795564050258618,0.06221933339420817,2009_06_07,both_interactions,Italy
0.06958933749539449,0.0561725022586524,2013_02_24,both_interactions,Italy
-0.07326346626977367,0.05786264760824361,2014_05_25,both_interactions,Italy
0.31850772417150497,0.05362654981161839,2018_03_04,both_interactions,Italy
0.19276686370650944,0.05350315499348004,2019_05_26,both_interactions,Italy
-0.0037433789770897202,0.062483414085725865,2004_06_12,one_interaction,Italy
0.05977199751915219,0.06454792100741741,2006_04_09,one_interaction,Italy
0.058715196364899996,0.058722703230096686,2008_04_13,one_interaction,Italy
0.042029738345194606,0.0673661091993167,2009_06_07,one_interaction,Italy
0.06203812052899434,0.06407247651501716,2013_02_24,one_interaction,Italy
-0.07276019789561669,0.05975593856751808,2014_05_25,one_interaction,Italy
0.28818463636124625,0.05438571532015875,2018_03_04,one_interaction,Italy
0.215211208273043,0.05836844610290812,2019_05_26,one_interaction,Italy
-0.1792327204620457,0.08100597672314058,2004_06_12,split_fits,Italy
-0.06289096058882696,0.07053607196341574,2006_04_09,split_fits,Italy
-0.07025350696232012,0.056261125898808446,2008_04_13,split_fits,Italy
-0.15785363418282042,0.098008573741903,2009_06_07,split_fits,Italy
-0.12882240094493955,0.05675668279290799,2013_02_24,split_fits,Italy
-0.27859937987334726,0.07014947862505577,2014_05_25,split_fits,Italy
0.11852924995425995,0.06042901974399756,2018_03_04,split_fits,Italy
0.04703283489466666,0.07068712795654314,2019_05_26,split_fits,Italy
0.27446410719724634,0.05316620464502613,none,no_interactions,Italy
-0.05525590310185327,0.09196823858139673,2009_06_07,both_interactions,Spain
-0.09140540437976633,0.10199631051406365,2011_11_20,both_interactions,Spain
-0.12118215161216603,0.07432578471304417,2014_05_25,both_interactions,Spain
-0.08931182922601014,0.07317497279192822,2015_12_20,both_interactions,Spain
-0.13124131267248085,0.07779810437573811,2016_06_26,both_interactions,Spain
0.05963944394116555,0.10350085659223114,2019_04_28,both_interactions,Spain
-0.07650627736656217,0.09092033790931245,2019_05_26,both_interactions,Spain
0.05710405306287304,0.09419044185821737,2019_11_10,both_interactions,Spain
-0.1496789100272814,0.1059028130732378,2023_07_23,both_interactions,Spain
-0.24370589175147245,0.1020178717598727,2024_06_09,both_interactions,Spain
-0.07195854248659489,0.0984429951486764,2009_06_07,one_interaction,Spain
-0.037791816362398124,0.11534166475884346,2011_11_20,one_interaction,Spain
-0.10139928408380448,0.08389287955951256,2014_05_25,one_interaction,Spain
-0.06653197615457555,0.08232133679574866,2015_12_20,one_interaction,Spain
-0.11406727989427617,0.08796488231116524,2016_06_26,one_interaction,Spain
0.09407190474422206,0.11530683121595132,2019_04_28,one_interaction,Spain
-0.029112017832349697,0.10368913860167704,2019_05_26,one_interaction,Spain
0.050231418202915754,0.10681981417001668,2019_11_10,one_interaction,Spain
-0.15347613485332554,0.11242636949382542,2023_07_23,one_interaction,Spain
-0.23339992364141432,0.10696419436672296,2024_06_09,one_interaction,Spain
-0.5382504062731828,0.21662829558254526,2011_11_20,split_fits,Spain
-0.6043851515763289,0.16451528398754137,2014_05_25,split_fits,Spain
-0.5860405686016661,0.1718969708627129,2015_12_20,split_fits,Spain
-0.6254699054954302,0.21330735639086504,2016_06_26,split_fits,Spain
-0.3970114660502174,0.15891949912145326,2019_04_28,split_fits,Spain
-0.5201953886267889,0.18390744384304708,2019_05_26,split_fits,Spain
-0.4408519525915239,0.18005079575695118,2019_11_10,split_fits,Spain
-0.5083173429383897,0.2602060953856937,2023_07_23,split_fits,Spain
-0.5499569743834306,0.2830617620366068,2024_06_09,split_fits,Spain
-0.5959699406909232,0.21086784185627666,2009_06_07,split_fits,Spain
-0.06475201926248836,0.07545346027876365,none,no_interactions,Spain
0.7919604153491662,0.0551321229466619,2004_06_13,both_interactions,Poland
0.763541203772997,0.05287906308369671,2005_09_25,both_interactions,Poland
0.3453770765128509,0.03864730004365552,2005_10_09,both_interactions,Poland
-0.45038432364951203,0.032872396034639734,2005_10_23,both_interactions,Poland
0.0526981938378594,0.02866251557681086,2007_10_21,both_interactions,Poland
0.05458270194259183,0.036003381141796756,2009_06_07,both_interactions,Poland
-0.2587252387295529,0.026944005568100494,2010_06_20,both_interactions,Poland
-0.47054485485872893,0.03172136313481851,2010_07_04,both_interactions,Poland
0.012050554509075726,0.025819464770431316,2011_10_09,both_interactions,Poland
0.06652001737594436,0.02792997208246692,2014_05_25,both_interactions,Poland
-0.059881055349070546,0.019158981256567943,2015_05_10,both_interactions,Poland
-0.25980149109903095,0.02405840233002663,2015_05_24,both_interactions,Poland
-0.08278029484053023,0.020685249377163678,2015_10_25,both_interactions,Poland
-0.28881412589905175,0.020724432643136857,2019_05_26,both_interactions,Poland
-0.20460666067095173,0.019678620124782355,2019_10_13,both_interactions,Poland
-0.1700925407568756,0.02007656605703136,2020_06_28,both_interactions,Poland
-0.2648839988710018,0.02055685489192258,2020_07_12,both_interactions,Poland
-0.0762874651585355,0.017321280548549468,2023_10_15,both_interactions,Poland
-0.081031340156422,0.016373611249639163,2024_06_09,both_interactions,Poland
0.76849427612186,0.05827924269014004,2004_06_13,one_interaction,Poland
0.705021351447364,0.05522573240130969,2005_09_25,one_interaction,Poland
0.2741630877709425,0.040084750251703424,2005_10_09,one_interaction,Poland
-0.4502111724141755,0.033709628534819305,2005_10_23,one_interaction,Poland
-0.014719834669005628,0.029731644452582605,2007_10_21,one_interaction,Poland
0.012486802166744852,0.03692493780478968,2009_06_07,one_interaction,Poland
-0.3191657848913045,0.026582240423076386,2010_06_20,one_interaction,Poland
-0.519794493546837,0.032395753310508806,2010_07_04,one_interaction,Poland
-0.023484894271469936,0.025146390721039337,2011_10_09,one_interaction,Poland
0.04970004275012446,0.028017379571471816,2014_05_25,one_interaction,Poland
-0.07001459800976431,0.019197311140092224,2015_05_10,one_interaction,Poland
-0.2918252838526583,0.024722192558852708,2015_05_24,one_interaction,Poland
-0.10886550700414424,0.02070967799432492,2015_10_25,one_interaction,Poland
-0.2568439615079298,0.02080687819565615,2019_05_26,one_interaction,Poland
-0.18003469680277845,0.019813583286195632,2019_10_13,one_interaction,Poland
-0.13625731333479707,0.019806914546745182,2020_06_28,one_interaction,Poland
-0.23375375705361173,0.020433499408403197,2020_07_12,one_interaction,Poland
-0.05961602171135627,0.020650105640131027,2023_10_15,one_interaction,Poland
-0.06632229500156613,0.016675448859497368,2024_06_09,one_interaction,Poland
0.004388446374970066,0.03357483051808,2004_06_13,split_fits,Poland
-0.0803870731378014,0.04459140465949535,2005_09_25,split_fits,Poland
-0.5112453368142215,0.04966630141889698,2005_10_09,split_fits,Poland
-1.235619596999339,0.05765752718144473,2005_10_23,split_fits,Poland
-0.8355191503387619,0.05072785552356231,2007_10_21,split_fits,Poland
-0.8137714636864755,0.053582455746125426,2009_06_07,split_fits,Poland
-1.1189888915351667,0.05075500401295834,2010_06_20,split_fits,Poland
-1.3196176001906832,0.054518177196087314,2010_07_04,split_fits,Poland
-0.7751682622027302,0.0472493153722437,2011_10_09,split_fits,Poland
-0.6552509299094158,0.03937874039082556,2014_05_25,split_fits,Poland
-0.7377828199955094,0.03453286674695072,2015_05_10,split_fits,Poland
-0.959593505838403,0.04475301345411535,2015_05_24,split_fits,Poland
-0.7766337289898928,0.039310234606038726,2015_10_25,split_fits,Poland
-0.8920608199029488,0.03172328081539876,2019_05_26,split_fits,Poland
-0.8152515551977957,0.031106693877855685,2019_10_13,split_fits,Poland
-0.7093868906817149,0.02721245327728639,2020_06_28,split_fits,Poland
-0.8068833344005282,0.029421788899741216,2020_07_12,split_fits,Poland
-0.5798833349448322,0.018422000570255396,2023_10_15,split_fits,Poland
-0.5962071324651192,0.01906022269429205,2024_06_09,split_fits,Poland
-0.17881205616828558,0.01621824561023067,none,no_interactions,Poland
